"date","precip"
"1893-01-01",1.32
"1893-02-01",2.41
"1893-03-01",2.49
"1893-04-01",3.79
"1893-05-01",6.04
"1893-06-01",2.2
"1893-07-01",5.13
"1893-08-01",3.86
"1893-09-01",4.38
"1893-10-01",2.15
"1893-11-01",1.25
"1893-12-01",2.03
"1894-01-01",2.78
"1894-02-01",2.31
"1894-03-01",1.28
"1894-04-01",4.84
"1894-05-01",7.34
"1894-06-01",3.4
"1894-07-01",3.17
"1894-08-01",0.59
"1894-09-01",5.17
"1894-10-01",4.94
"1894-11-01",1.94
"1894-12-01",2.39
"1895-01-01",2.18
"1895-02-01",0.92
"1895-03-01",1.26
"1895-04-01",1.47
"1895-05-01",3.6
"1895-06-01",3.37
"1895-07-01",1.96
"1895-08-01",4.12
"1895-09-01",2.03
"1895-10-01",0.99
"1895-11-01",2.69
"1895-12-01",4.07
"1896-01-01",1.46
"1896-02-01",4.61
"1896-03-01",4.75
"1896-04-01",1.2
"1896-05-01",2.64
"1896-06-01",4.36
"1896-07-01",3.7
"1896-08-01",2.43
"1896-09-01",3.84
"1896-10-01",4.37
"1896-11-01",2
"1896-12-01",1
"1897-01-01",1.5
"1897-02-01",0.91
"1897-03-01",3.04
"1897-04-01",2.47
"1897-05-01",3.84
"1897-06-01",3.54
"1897-07-01",3.25
"1897-08-01",2.74
"1897-09-01",4.72
"1897-10-01",0.68
"1897-11-01",4.22
"1897-12-01",2.56
"1898-01-01",2.21
"1898-02-01",1.59
"1898-03-01",1.63
"1898-04-01",3.58
"1898-05-01",4.55
"1898-06-01",3.01
"1898-07-01",4.17
"1898-08-01",4.42
"1898-09-01",3.2
"1898-10-01",5.87
"1898-11-01",3.15
"1898-12-01",2.22
"1899-01-01",1.67
"1899-02-01",1.48
"1899-03-01",2.46
"1899-04-01",1.45
"1899-05-01",2.9
"1899-06-01",1.99
"1899-07-01",3.46
"1899-08-01",2.31
"1899-09-01",2.16
"1899-10-01",2.34
"1899-11-01",2.94
"1899-12-01",2.39
"1900-01-01",2.39
"1900-02-01",2.86
"1900-03-01",4.01
"1900-04-01",1.68
"1900-05-01",1.51
"1900-06-01",1.98
"1900-07-01",2.41
"1900-08-01",2.93
"1900-09-01",0.94
"1900-10-01",4.06
"1900-11-01",5.71
"1900-12-01",2.29
"1901-01-01",1.31
"1901-02-01",0.95
"1901-03-01",2.89
"1901-04-01",4.08
"1901-05-01",4.2
"1901-06-01",3.06
"1901-07-01",3.6
"1901-08-01",3.85
"1901-09-01",1.66
"1901-10-01",1.07
"1901-11-01",2.74
"1901-12-01",5.76
"1902-01-01",1.36
"1902-02-01",1.41
"1902-03-01",3.04
"1902-04-01",1.31
"1902-05-01",2.05
"1902-06-01",5.39
"1902-07-01",6.69
"1902-08-01",3.13
"1902-09-01",2.7
"1902-10-01",3.36
"1902-11-01",0.99
"1902-12-01",4.3
"1903-01-01",2.19
"1903-02-01",1.97
"1903-03-01",4.62
"1903-04-01",1.04
"1903-05-01",0.3
"1903-06-01",5.67
"1903-07-01",2.64
"1903-08-01",7.15
"1903-09-01",1.21
"1903-10-01",5.69
"1903-11-01",1.83
"1903-12-01",1.15
"1904-01-01",3.46
"1904-02-01",1.4
"1904-03-01",2.29
"1904-04-01",2.93
"1904-05-01",4.64
"1904-06-01",1.77
"1904-07-01",3.79
"1904-08-01",2.2
"1904-09-01",1.93
"1904-10-01",2.71
"1904-11-01",0.84
"1904-12-01",2.08
"1905-01-01",2.82
"1905-02-01",0.71
"1905-03-01",3.06
"1905-04-01",2.64
"1905-05-01",1.92
"1905-06-01",6.81
"1905-07-01",4.97
"1905-08-01",2.83
"1905-09-01",3.66
"1905-10-01",4.36
"1905-11-01",1.34
"1905-12-01",2.92
"1906-01-01",1.07
"1906-02-01",1.21
"1906-03-01",3.28
"1906-04-01",1.77
"1906-05-01",3.71
"1906-06-01",7.06
"1906-07-01",1.94
"1906-08-01",2.53
"1906-09-01",1.83
"1906-10-01",3.3
"1906-11-01",1.94
"1906-12-01",3.5
"1907-01-01",2.68
"1907-02-01",2
"1907-03-01",0.92
"1907-04-01",3.76
"1907-05-01",2.51
"1907-06-01",5.15
"1907-07-01",1.95
"1907-08-01",1.64
"1907-09-01",3.96
"1907-10-01",3.52
"1907-11-01",1.92
"1907-12-01",3.52
"1908-01-01",2.27
"1908-02-01",2.47
"1908-03-01",2.24
"1908-04-01",3.85
"1908-05-01",4.3
"1908-06-01",1.26
"1908-07-01",4.75
"1908-08-01",3.48
"1908-09-01",1.61
"1908-10-01",1.67
"1908-11-01",0.89
"1908-12-01",1.35
"1909-01-01",2.64
"1909-02-01",2.8
"1909-03-01",1.78
"1909-04-01",3.18
"1909-05-01",2.15
"1909-06-01",3.97
"1909-07-01",1.62
"1909-08-01",1.63
"1909-09-01",2.9
"1909-10-01",2.24
"1909-11-01",1.08
"1909-12-01",1.21
"1910-01-01",3.07
"1910-02-01",3.29
"1910-03-01",0.3
"1910-04-01",3.66
"1910-05-01",4.2
"1910-06-01",1.14
"1910-07-01",1.62
"1910-08-01",2.39
"1910-09-01",4.64
"1910-10-01",2.29
"1910-11-01",2.85
"1910-12-01",2.18
"1911-01-01",1.96
"1911-02-01",4.34
"1911-03-01",1.86
"1911-04-01",2.05
"1911-05-01",2.24
"1911-06-01",3.59
"1911-07-01",2.53
"1911-08-01",4.15
"1911-09-01",2.78
"1911-10-01",3.3
"1911-11-01",1.28
"1911-12-01",1.83
"1912-01-01",1.63
"1912-02-01",1.28
"1912-03-01",2.73
"1912-04-01",2.97
"1912-05-01",3.58
"1912-06-01",1.37
"1912-07-01",2.64
"1912-08-01",3.54
"1912-09-01",7.46
"1912-10-01",1.86
"1912-11-01",2.41
"1912-12-01",1.48
"1913-01-01",3.15
"1913-02-01",1.38
"1913-03-01",3.73
"1913-04-01",1.49
"1913-05-01",3.15
"1913-06-01",2
"1913-07-01",1.59
"1913-08-01",1.92
"1913-09-01",3.28
"1913-10-01",3.63
"1913-11-01",2.21
"1913-12-01",1.94
"1914-01-01",1.37
"1914-02-01",1.62
"1914-03-01",1.9
"1914-04-01",4.35
"1914-05-01",3.63
"1914-06-01",4.75
"1914-07-01",1.89
"1914-08-01",6.1
"1914-09-01",1.96
"1914-10-01",1.38
"1914-11-01",0.68
"1914-12-01",2.7
"1915-01-01",5.02
"1915-02-01",1.83
"1915-03-01",0.32
"1915-04-01",0.55
"1915-05-01",2.44
"1915-06-01",3.94
"1915-07-01",6.18
"1915-08-01",3.7
"1915-09-01",2.58
"1915-10-01",4.1
"1915-11-01",1.1
"1915-12-01",2.9
"1916-01-01",0.81
"1916-02-01",2.97
"1916-03-01",2.28
"1916-04-01",2.77
"1916-05-01",4.27
"1916-06-01",3.48
"1916-07-01",1.29
"1916-08-01",1.5
"1916-09-01",5.65
"1916-10-01",1.59
"1916-11-01",1.53
"1916-12-01",1.13
"1917-01-01",1.82
"1917-02-01",0.7
"1917-03-01",1.59
"1917-04-01",1.83
"1917-05-01",4.41
"1917-06-01",7.35
"1917-07-01",3.25
"1917-08-01",8.45
"1917-09-01",2.22
"1917-10-01",4.84
"1917-11-01",0.64
"1917-12-01",2.48
"1918-01-01",1.83
"1918-02-01",1.48
"1918-03-01",2.58
"1918-04-01",3.54
"1918-05-01",4.49
"1918-06-01",3.05
"1918-07-01",4.55
"1918-08-01",3.79
